top-left-square,top-middle-square,top-right-square,middle-left-square,middle-middle-square,middle-right-square,bottom-left-square,bottom-middle-square,bottom-right-square,result
x,x,x,x,b,o,o,o,b,x won
x,x,x,x,b,o,o,b,o,x won
x,x,x,x,b,o,b,o,o,x won
x,x,x,o,x,o,x,o,o,x won
x,x,x,o,x,o,o,x,o,x won
x,x,x,o,x,o,o,o,x,x won
x,x,x,o,x,o,o,b,b,x won
x,x,x,o,x,o,b,o,b,x won
x,x,x,o,x,o,b,b,o,x won
x,x,x,o,x,b,o,o,b,x won
x,x,x,o,x,b,o,b,o,x won
x,x,x,o,x,b,b,o,o,x won
x,x,x,o,o,x,x,o,o,x won
x,x,x,o,o,x,o,x,o,x won
x,x,x,o,o,x,o,o,x,x won
x,x,x,o,o,x,o,b,b,x won
x,x,x,o,o,x,b,o,b,x won
x,x,x,o,o,x,b,b,o,x won
x,x,x,o,o,b,x,o,b,x won
x,x,x,o,o,b,x,b,o,x won
x,x,x,o,o,b,o,x,b,x won
x,x,x,o,o,b,o,b,x,x won
x,x,x,o,o,b,b,x,o,x won
x,x,x,o,o,b,b,o,x,x won
x,x,x,o,o,b,b,b,b,x won
x,x,x,o,b,x,o,o,b,x won
x,x,x,o,b,x,o,b,o,x won
x,x,x,o,b,x,b,o,o,x won
x,x,x,o,b,o,x,o,b,x won
x,x,x,o,b,o,x,b,o,x won
x,x,x,o,b,o,o,x,b,x won
x,x,x,o,b,o,o,b,x,x won
x,x,x,o,b,o,b,x,o,x won
x,x,x,o,b,o,b,o,x,x won
x,x,x,o,b,o,b,b,b,x won
x,x,x,o,b,b,x,o,o,x won
x,x,x,o,b,b,o,x,o,x won
x,x,x,o,b,b,o,o,x,x won
x,x,x,o,b,b,o,b,b,x won
x,x,x,o,b,b,b,o,b,x won
x,x,x,o,b,b,b,b,o,x won
x,x,x,b,x,o,o,o,b,x won
x,x,x,b,x,o,o,b,o,x won
x,x,x,b,x,o,b,o,o,x won
x,x,x,b,o,x,o,o,b,x won
x,x,x,b,o,x,o,b,o,x won
x,x,x,b,o,x,b,o,o,x won
x,x,x,b,o,o,x,o,b,x won
x,x,x,b,o,o,x,b,o,x won
x,x,x,b,o,o,o,x,b,x won
x,x,x,b,o,o,o,b,x,x won
x,x,x,b,o,o,b,x,o,x won
x,x,x,b,o,o,b,o,x,x won
x,x,x,b,o,o,b,b,b,x won
x,x,x,b,o,b,x,o,o,x won
x,x,x,b,o,b,o,x,o,x won
x,x,x,b,o,b,o,o,x,x won
x,x,x,b,o,b,o,b,b,x won
x,x,x,b,o,b,b,o,b,x won
x,x,x,b,o,b,b,b,o,x won
x,x,x,b,b,o,x,o,o,x won
x,x,x,b,b,o,o,x,o,x won
x,x,x,b,b,o,o,o,x,x won
x,x,x,b,b,o,o,b,b,x won
x,x,x,b,b,o,b,o,b,x won
x,x,x,b,b,o,b,b,o,x won
x,x,x,b,b,b,o,o,b,x won
x,x,x,b,b,b,o,b,o,x won
x,x,x,b,b,b,b,o,o,x won
x,x,o,x,x,o,o,o,x,x won
x,x,o,x,o,x,x,o,o,x won
x,x,o,x,o,o,x,o,x,x won
x,x,o,x,o,o,x,b,b,x won
x,x,o,x,o,b,x,o,b,x won
x,x,o,x,o,b,x,b,o,x won
x,x,o,x,b,o,x,o,b,x won
x,x,o,x,b,b,x,o,o,x won
x,x,o,o,x,x,o,x,o,x won
x,x,o,o,x,x,o,o,x,x won
x,x,o,o,x,o,x,o,x,x won
x,x,o,o,x,o,o,x,x,x won
x,x,o,o,x,o,b,x,b,x won
x,x,o,o,x,o,b,b,x,x won
x,x,o,o,x,b,o,x,b,x won
x,x,o,o,x,b,o,b,x,x won
x,x,o,o,x,b,b,x,o,x won
x,x,o,o,x,b,b,o,x,x won
x,x,o,b,x,o,o,x,b,x won
x,x,o,b,x,o,o,b,x,x won
x,x,o,b,x,o,b,o,x,x won
x,x,o,b,x,b,o,x,o,x won
x,x,o,b,x,b,o,o,x,x won
x,x,b,x,o,o,x,o,b,x won
x,x,b,x,o,o,x,b,o,x won
x,x,b,x,o,b,x,o,o,x won
x,x,b,x,b,o,x,o,o,x won
x,x,b,o,x,o,o,x,b,x won
x,x,b,o,x,o,o,b,x,x won
x,x,b,o,x,o,b,x,o,x won
x,x,b,o,x,o,b,o,x,x won
x,x,b,o,x,b,o,x,o,x won
x,x,b,o,x,b,o,o,x,x won
x,x,b,b,x,o,o,x,o,x won
x,x,b,b,x,o,o,o,x,x won
x,o,x,x,x,o,x,o,o,x won
x,o,x,x,x,o,o,o,x,x won
x,o,x,x,o,o,x,x,o,x won
x,o,x,x,o,o,x,b,b,x won
x,o,x,x,o,b,x,b,o,x won
x,o,x,x,b,o,x,o,b,x won
x,o,x,x,b,o,x,b,o,x won
x,o,x,x,b,b,x,o,o,x won
x,o,x,o,x,x,x,o,o,x won
x,o,x,o,x,x,o,o,x,x won
x,o,x,o,x,o,x,x,o,x won
x,o,x,o,x,o,x,o,x,x won
x,o,x,o,x,o,x,b,b,x won
x,o,x,o,x,o,o,x,x,x won
x,o,x,o,x,o,b,b,x,x won
x,o,x,o,x,b,x,o,b,x won
x,o,x,o,x,b,x,b,o,x won
x,o,x,o,x,b,o,b,x,x won
x,o,x,o,x,b,b,o,x,x won
x,o,x,o,o,x,o,x,x,x won
x,o,x,o,o,x,b,b,x,x won
x,o,x,o,b,x,o,b,x,x won
x,o,x,o,b,x,b,o,x,x won
x,o,x,b,x,o,x,o,b,x won
x,o,x,b,x,o,x,b,o,x won
x,o,x,b,x,o,o,b,x,x won
x,o,x,b,x,o,b,o,x,x won
x,o,x,b,x,b,x,o,o,x won
x,o,x,b,x,b,o,o,x,x won
x,o,x,b,o,x,o,b,x,x won
x,o,x,b,b,x,o,o,x,x won
x,o,o,x,x,x,x,o,o,x won
x,o,o,x,x,x,o,x,o,x won
x,o,o,x,x,x,o,o,x,x won
x,o,o,x,x,x,o,b,b,x won
x,o,o,x,x,x,b,o,b,x won
x,o,o,x,x,x,b,b,o,x won
x,o,o,x,x,o,x,o,x,x won
x,o,o,x,x,o,x,b,b,x won
x,o,o,x,x,o,o,x,x,x won
x,o,o,x,x,o,b,b,x,x won
x,o,o,x,x,b,x,o,b,x won
x,o,o,x,x,b,x,b,o,x won
x,o,o,x,x,b,o,b,x,x won
x,o,o,x,x,b,b,o,x,x won
x,o,o,x,o,x,x,x,o,x won
x,o,o,x,o,x,x,b,b,x won
x,o,o,x,o,o,x,x,x,x won
x,o,o,x,o,b,x,x,b,x won
x,o,o,x,o,b,x,b,x,x won
x,o,o,x,b,x,x,o,b,x won
x,o,o,x,b,x,x,b,o,x won
x,o,o,x,b,o,x,x,b,x won
x,o,o,x,b,o,x,b,x,x won
x,o,o,x,b,b,x,x,o,x won
x,o,o,x,b,b,x,o,x,x won
x,o,o,x,b,b,x,b,b,x won
x,o,o,o,x,x,x,o,x,x won
x,o,o,o,x,x,o,x,x,x won
x,o,o,o,x,x,b,b,x,x won
x,o,o,o,x,o,x,x,x,x won
x,o,o,o,x,b,x,b,x,x won
x,o,o,o,x,b,b,x,x,x won
x,o,o,o,o,x,x,x,x,x won
x,o,o,o,b,b,x,x,x,x won
x,o,o,b,x,x,o,b,x,x won
x,o,o,b,x,x,b,o,x,x won
x,o,o,b,x,o,x,b,x,x won
x,o,o,b,x,o,b,x,x,x won
x,o,o,b,x,b,x,o,x,x won
x,o,o,b,x,b,o,x,x,x won
x,o,o,b,x,b,b,b,x,x won
x,o,o,b,o,b,x,x,x,x won
x,o,o,b,b,o,x,x,x,x won
x,o,b,x,x,x,o,o,b,x won
x,o,b,x,x,x,o,b,o,x won
x,o,b,x,x,x,b,o,o,x won
x,o,b,x,x,o,x,o,b,x won
x,o,b,x,x,o,x,b,o,x won
x,o,b,x,x,o,o,b,x,x won
x,o,b,x,x,o,b,o,x,x won
x,o,b,x,x,b,x,o,o,x won
x,o,b,x,x,b,o,o,x,x won
x,o,b,x,o,x,x,b,o,x won
x,o,b,x,o,o,x,x,b,x won
x,o,b,x,o,o,x,b,x,x won
x,o,b,x,o,b,x,x,o,x won
x,o,b,x,o,b,x,b,b,x won
x,o,b,x,b,x,x,o,o,x won
x,o,b,x,b,o,x,x,o,x won
x,o,b,x,b,o,x,o,x,x won
x,o,b,x,b,o,x,b,b,x won
x,o,b,x,b,b,x,o,b,x won
x,o,b,x,b,b,x,b,o,x won
x,o,b,o,x,x,o,b,x,x won
x,o,b,o,x,x,b,o,x,x won
x,o,b,o,x,o,x,b,x,x won
x,o,b,o,x,o,b,x,x,x won
x,o,b,o,x,b,x,o,x,x won
x,o,b,o,x,b,o,x,x,x won
x,o,b,o,x,b,b,b,x,x won
x,o,b,o,o,b,x,x,x,x won
x,o,b,o,b,o,x,x,x,x won
x,o,b,b,x,x,o,o,x,x won
x,o,b,b,x,o,x,o,x,x won
x,o,b,b,x,o,o,x,x,x won
x,o,b,b,x,o,b,b,x,x won
x,o,b,b,x,b,o,b,x,x won
x,o,b,b,x,b,b,o,x,x won
x,o,b,b,o,o,x,x,x,x won
x,b,x,x,o,o,x,o,b,x won
x,b,x,x,o,o,x,b,o,x won
x,b,x,x,o,b,x,o,o,x won
x,b,x,x,b,o,x,o,o,x won
x,b,x,o,x,o,x,o,b,x won
x,b,x,o,x,o,x,b,o,x won
x,b,x,o,x,o,o,b,x,x won
x,b,x,o,x,o,b,o,x,x won
x,b,x,o,x,b,x,o,o,x won
x,b,x,o,x,b,o,o,x,x won
x,b,x,o,o,x,o,b,x,x won
x,b,x,o,o,x,b,o,x,x won
x,b,x,o,b,x,o,o,x,x won
x,b,x,b,x,o,x,o,o,x won
x,b,x,b,x,o,o,o,x,x won
x,b,x,b,o,x,o,o,x,x won
x,b,o,x,x,x,o,o,b,x won
x,b,o,x,x,x,o,b,o,x won
x,b,o,x,x,x,b,o,o,x won
x,b,o,x,x,o,x,o,b,x won
x,b,o,x,x,o,o,b,x,x won
x,b,o,x,x,o,b,o,x,x won
x,b,o,x,x,b,x,o,o,x won
x,b,o,x,x,b,o,o,x,x won
x,b,o,x,o,x,x,o,b,x won
x,b,o,x,o,x,x,b,o,x won
x,b,o,x,o,o,x,x,b,x won
x,b,o,x,o,o,x,b,x,x won
x,b,o,x,o,b,x,x,o,x won
x,b,o,x,o,b,x,o,x,x won
x,b,o,x,o,b,x,b,b,x won
x,b,o,x,b,x,x,o,o,x won
x,b,o,x,b,o,x,o,x,x won
x,b,o,x,b,o,x,b,b,x won
x,b,o,x,b,b,x,o,b,x won
x,b,o,x,b,b,x,b,o,x won
x,b,o,o,x,x,o,b,x,x won
x,b,o,o,x,x,b,o,x,x won
x,b,o,o,x,o,x,b,x,x won
x,b,o,o,x,o,b,x,x,x won
x,b,o,o,x,b,x,o,x,x won
x,b,o,o,x,b,o,x,x,x won
x,b,o,o,x,b,b,b,x,x won
x,b,o,o,o,b,x,x,x,x won
x,b,o,o,b,o,x,x,x,x won
x,b,o,b,x,x,o,o,x,x won
x,b,o,b,x,o,x,o,x,x won
x,b,o,b,x,o,o,x,x,x won
x,b,o,b,x,o,b,b,x,x won
x,b,o,b,x,b,o,b,x,x won
x,b,o,b,x,b,b,o,x,x won
x,b,o,b,o,o,x,x,x,x won
x,b,b,x,x,o,x,o,o,x won
x,b,b,x,x,o,o,o,x,x won
x,b,b,x,o,x,x,o,o,x won
x,b,b,x,o,o,x,x,o,x won
x,b,b,x,o,o,x,o,x,x won
x,b,b,x,o,o,x,b,b,x won
x,b,b,x,o,b,x,o,b,x won
x,b,b,x,o,b,x,b,o,x won
x,b,b,x,b,o,x,o,b,x won
x,b,b,x,b,o,x,b,o,x won
x,b,b,x,b,b,x,o,o,x won
x,b,b,o,x,x,o,o,x,x won
x,b,b,o,x,o,x,o,x,x won
x,b,b,o,x,o,o,x,x,x won
x,b,b,o,x,o,b,b,x,x won
x,b,b,o,x,b,o,b,x,x won
x,b,b,o,x,b,b,o,x,x won
x,b,b,b,x,o,o,b,x,x won
x,b,b,b,x,o,b,o,x,x won
x,b,b,b,x,b,o,o,x,x won
o,x,x,x,x,o,x,o,o,x won
o,x,x,x,x,o,o,x,o,x won
o,x,x,x,o,x,o,o,x,x won
o,x,x,o,x,x,x,o,o,x won
o,x,x,o,x,o,x,x,o,x won
o,x,x,o,x,o,x,o,x,x won
o,x,x,o,x,o,x,b,b,x won
o,x,x,o,x,o,b,x,b,x won
o,x,x,o,x,b,x,o,b,x won
o,x,x,o,x,b,x,b,o,x won
o,x,x,o,x,b,b,x,o,x won
o,x,x,o,o,x,x,o,x,x won
o,x,x,o,o,x,b,b,x,x won
o,x,x,o,b,x,b,o,x,x won
o,x,x,b,x,o,x,o,b,x won
o,x,x,b,x,o,x,b,o,x won
o,x,x,b,x,o,o,x,b,x won
o,x,x,b,x,o,b,x,o,x won
o,x,x,b,x,b,x,o,o,x won
o,x,x,b,x,b,o,x,o,x won
o,x,x,b,o,x,o,b,x,x won
o,x,x,b,o,x,b,o,x,x won
o,x,x,b,b,x,o,o,x,x won
o,x,o,x,x,x,x,o,o,x won
o,x,o,x,x,x,o,x,o,x won
o,x,o,x,x,x,o,o,x,x won
o,x,o,x,x,x,o,b,b,x won
o,x,o,x,x,x,b,o,b,x won
o,x,o,x,x,x,b,b,o,x won
o,x,o,x,x,o,o,x,x,x won
o,x,o,x,x,o,b,x,b,x won
o,x,o,x,x,b,o,x,b,x won
o,x,o,x,x,b,b,x,o,x won
o,x,o,x,o,o,x,x,x,x won
o,x,o,o,x,x,x,x,o,x won
o,x,o,o,x,x,b,x,b,x won
o,x,o,o,x,o,x,x,x,x won
o,x,o,o,x,b,x,x,b,x won
o,x,o,o,x,b,b,x,x,x won
o,x,o,o,o,x,x,x,x,x won
o,x,o,o,b,b,x,x,x,x won
o,x,o,b,x,x,o,x,b,x won
o,x,o,b,x,x,b,x,o,x won
o,x,o,b,x,o,x,x,b,x won
o,x,o,b,x,o,b,x,x,x won
o,x,o,b,x,b,x,x,o,x won
o,x,o,b,x,b,o,x,x,x won
o,x,o,b,x,b,b,x,b,x won
o,x,o,b,o,b,x,x,x,x won
o,x,o,b,b,o,x,x,x,x won
o,x,b,x,x,x,o,o,b,x won
o,x,b,x,x,x,o,b,o,x won
o,x,b,x,x,x,b,o,o,x won
o,x,b,x,x,o,o,x,b,x won
o,x,b,x,x,o,b,x,o,x won
o,x,b,x,x,b,o,x,o,x won
o,x,b,o,x,x,b,x,o,x won
o,x,b,o,x,o,x,x,b,x won
o,x,b,o,x,o,b,x,x,x won
o,x,b,o,x,b,x,x,o,x won
o,x,b,o,x,b,b,x,b,x won
o,x,b,o,o,b,x,x,x,x won
o,x,b,o,b,o,x,x,x,x won
o,x,b,b,x,x,o,x,o,x won
o,x,b,b,x,o,x,x,o,x won
o,x,b,b,x,o,o,x,x,x won
o,x,b,b,x,o,b,x,b,x won
o,x,b,b,x,b,o,x,b,x won
o,x,b,b,x,b,b,x,o,x won
o,x,b,b,o,o,x,x,x,x won
o,o,x,x,x,x,x,o,o,x won
o,o,x,x,x,x,o,x,o,x won
o,o,x,x,x,x,o,o,x,x won
o,o,x,x,x,x,o,b,b,x won
o,o,x,x,x,x,b,o,b,x won
o,o,x,x,x,x,b,b,o,x won
o,o,x,x,x,o,x,x,o,x won
o,o,x,x,x,o,x,o,x,x won
o,o,x,x,x,o,x,b,b,x won
o,o,x,x,x,b,x,o,b,x won
o,o,x,x,x,b,x,b,o,x won
o,o,x,x,o,x,o,x,x,x won
o,o,x,x,o,x,b,b,x,x won
o,o,x,x,o,o,x,x,x,x won
o,o,x,x,b,x,o,b,x,x won
o,o,x,x,b,x,b,o,x,x won
o,o,x,o,x,x,x,x,o,x won
o,o,x,o,x,x,x,o,x,x won
o,o,x,o,x,x,x,b,b,x won
o,o,x,o,x,x,b,b,x,x won
o,o,x,o,x,o,x,x,x,x won
o,o,x,o,x,b,x,x,b,x won
o,o,x,o,x,b,x,b,x,x won
o,o,x,o,o,x,x,x,x,x won
o,o,x,o,b,x,x,b,x,x won
o,o,x,o,b,x,b,x,x,x won
o,o,x,o,b,b,x,x,x,x won
o,o,x,b,x,x,x,o,b,x won
o,o,x,b,x,x,x,b,o,x won
o,o,x,b,x,x,o,b,x,x won
o,o,x,b,x,x,b,o,x,x won
o,o,x,b,x,o,x,x,b,x won
o,o,x,b,x,o,x,b,x,x won
o,o,x,b,x,b,x,x,o,x won
o,o,x,b,x,b,x,o,x,x won
o,o,x,b,x,b,x,b,b,x won
o,o,x,b,o,x,x,b,x,x won
o,o,x,b,o,x,b,x,x,x won
o,o,x,b,o,b,x,x,x,x won
o,o,x,b,b,x,x,o,x,x won
o,o,x,b,b,x,o,x,x,x won
o,o,x,b,b,x,b,b,x,x won
o,o,x,b,b,o,x,x,x,x won
o,o,b,x,x,x,x,o,b,x won
o,o,b,x,x,x,x,b,o,x won
o,o,b,x,x,x,o,x,b,x won
o,o,b,x,x,x,o,b,x,x won
o,o,b,x,x,x,b,x,o,x won
o,o,b,x,x,x,b,o,x,x won
o,o,b,x,x,x,b,b,b,x won
o,o,b,x,o,b,x,x,x,x won
o,o,b,x,b,o,x,x,x,x won
o,o,b,o,x,b,x,x,x,x won
o,o,b,o,b,x,x,x,x,x won
o,o,b,b,x,o,x,x,x,x won
o,o,b,b,o,x,x,x,x,x won
o,o,b,b,b,b,x,x,x,x won
o,b,x,x,x,x,o,o,b,x won
o,b,x,x,x,x,o,b,o,x won
o,b,x,x,x,x,b,o,o,x won
o,b,x,x,x,o,x,o,b,x won
o,b,x,x,x,o,x,b,o,x won
o,b,x,x,x,b,x,o,o,x won
o,b,x,x,o,x,o,b,x,x won
o,b,x,x,o,x,b,o,x,x won
o,b,x,x,b,x,o,o,x,x won
o,b,x,o,x,x,x,o,b,x won
o,b,x,o,x,x,x,b,o,x won
o,b,x,o,x,x,b,o,x,x won
o,b,x,o,x,o,x,x,b,x won
o,b,x,o,x,o,x,b,x,x won
o,b,x,o,x,b,x,x,o,x won
o,b,x,o,x,b,x,o,x,x won
o,b,x,o,x,b,x,b,b,x won
o,b,x,o,o,x,x,b,x,x won
o,b,x,o,o,x,b,x,x,x won
o,b,x,o,o,b,x,x,x,x won
o,b,x,o,b,x,x,o,x,x won
o,b,x,o,b,x,b,b,x,x won
o,b,x,o,b,o,x,x,x,x won
o,b,x,b,x,x,x,o,o,x won
o,b,x,b,x,x,o,o,x,x won
o,b,x,b,x,o,x,x,o,x won
o,b,x,b,x,o,x,o,x,x won
o,b,x,b,x,o,x,b,b,x won
o,b,x,b,x,b,x,o,b,x won
o,b,x,b,x,b,x,b,o,x won
o,b,x,b,o,x,x,o,x,x won
o,b,x,b,o,x,o,x,x,x won
o,b,x,b,o,x,b,b,x,x won
o,b,x,b,o,o,x,x,x,x won
o,b,x,b,b,x,o,b,x,x won
o,b,x,b,b,x,b,o,x,x won
o,b,o,x,x,x,x,o,b,x won
o,b,o,x,x,x,x,b,o,x won
o,b,o,x,x,x,o,x,b,x won
o,b,o,x,x,x,o,b,x,x won
o,b,o,x,x,x,b,x,o,x won
o,b,o,x,x,x,b,o,x,x won
o,b,o,x,x,x,b,b,b,x won
o,b,o,x,o,b,x,x,x,x won
o,b,o,x,b,o,x,x,x,x won
o,b,o,o,x,b,x,x,x,x won
o,b,o,o,b,x,x,x,x,x won
o,b,o,b,x,o,x,x,x,x won
o,b,o,b,o,x,x,x,x,x won
o,b,o,b,b,b,x,x,x,x won
o,b,b,x,x,x,x,o,o,x won
o,b,b,x,x,x,o,x,o,x won
o,b,b,x,x,x,o,o,x,x won
o,b,b,x,x,x,o,b,b,x won
o,b,b,x,x,x,b,o,b,x won
o,b,b,x,x,x,b,b,o,x won
o,b,b,x,o,o,x,x,x,x won
